1,1,8,13,2026-03-25 08:35:00,2026-03-25 08:45:00,f
2,2,8,13,2026-03-25 09:20:00,,f
3,3,,13,2026-03-25 10:05:00,,f
4,4,11,14,2026-03-24 14:25:00,2026-03-24 14:50:00,f
5,5,11,14,2026-03-25 07:50:00,,t
6,6,19,17,2026-03-24 11:35:00,2026-03-24 13:20:00,f
7,7,19,17,2026-03-25 09:05:00,,f
8,8,15,15,2026-03-24 15:50:00,,f
9,9,16,16,2026-03-23 10:15:00,2026-03-23 14:30:00,t
10,10,12,12,2026-03-22 13:25:00,2026-03-22 14:00:00,f
11,11,,12,2026-03-25 08:05:00,,f
12,12,22,22,2026-03-20 09:15:00,2026-03-20 10:00:00,f
13,13,22,22,2026-03-24 16:35:00,2026-03-24 16:50:00,f
14,14,20,20,2026-03-22 11:20:00,2026-03-22 13:00:00,t
15,15,20,20,2026-03-25 08:50:00,,f
16,16,17,17,2026-03-21 14:10:00,2026-03-22 09:30:00,f
17,17,2,2,2026-03-25 10:20:00,,f
18,18,,2,2026-03-24 12:10:00,,f
19,19,20,20,2026-03-24 09:35:00,2026-03-24 11:00:00,f
20,20,22,22,2026-03-23 11:15:00,2026-03-23 13:30:00,f
21,21,22,22,2026-03-22 15:35:00,2026-03-22 16:15:00,f
22,22,22,22,2026-03-23 13:50:00,2026-03-24 09:00:00,f
